age : 25, id : 1001, sex: 1
age : 30, id : 1002, sex: 0
age : 22, id : 1020, sex: 1
age : 25, id : 1009, sex: 0
age : 26, id : 1008, sex: 0
age : 21, id : 1002, sex: 2
age : 22, id : 1005, sex: 1
age : 25, id : 1001, sex: 1
age : 30, id : 1002, sex: 0
age : 22, id : 1020, sex: 1
age : 25, id : 1009, sex: 0
age : 26, id : 1008, sex: 0
age : 21, id : 1002, sex: 2
age : 22, id : 1005, sex: 1
age : 25, id : 1001, sex: 1
age : 30, id : 1002, sex: 0
age : 22, id : 1020, sex: 1
age : 25, id : 1009, sex: 0
age : 26, id : 1008, sex: 0
age : 21, id : 1002, sex: 2
age : 22, id : 1005, sex: 1
age : 25, id : 1001, sex: 1
age : 30, id : 1002, sex: 0
age : 22, id : 1020, sex: 1
age : 25, id : 1009, sex: 0
age : 26, id : 1008, sex: 0
age : 21, id : 1002, sex: 2
age : 22, id : 1005, sex: 1
